City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
207,Coquimbo,-29.9533,-71.3436,62.33,59,0,14.97,CL,clear sky,2022-06-29 19:58:45
208,Whitehorse,60.7161,-135.0538,79.11,43,75,4.61,CA,thunderstorm with light rain,2022-06-29 19:54:10
209,Souillac,-20.5167,57.5167,70.18,56,40,8.05,MU,light rain,2022-06-29 19:58:46
210,Villa Rica,33.7321,-84.9191,88.45,76,100,2.71,US,overcast clouds,2022-06-29 19:58:46
211,Manokwari,-0.8667,134.0833,78.28,66,68,6.4,ID,broken clouds,2022-06-29 19:58:46
212,Kokopo,-4.352,152.2633,76.82,84,65,8.66,PG,broken clouds,2022-06-29 19:58:47
213,Chekhov,55.1431,37.4711,62.85,70,0,3.56,RU,clear sky,2022-06-29 19:58:47
214,Andijon,40.7821,72.3442,76.28,20,0,6.13,UZ,clear sky,2022-06-29 19:58:47
215,Bartica,6.4,-58.6167,84.52,96,100,2.95,GY,overcast clouds,2022-06-29 19:58:48
216,Lompoc,34.6391,-120.4579,93.78,63,4,8.01,US,clear sky,2022-06-29 19:58:48
217,Nome,64.5011,-165.4064,56.16,74,100,6.22,US,overcast clouds,2022-06-29 19:58:49
218,Mount Isa,-20.7333,139.5,56.97,82,100,11.5,AU,overcast clouds,2022-06-29 19:58:49
219,Balykshi,47.0667,51.8667,62.6,31,0,8.95,KZ,clear sky,2022-06-29 19:58:49
220,Namatanai,-3.6667,152.4333,78.53,83,100,6.49,PG,light rain,2022-06-29 19:58:50
221,Kuandian,40.7286,124.7847,66.6,97,86,0.45,CN,overcast clouds,2022-06-29 19:58:50
222,Eyl,7.9803,49.8164,79.86,70,26,25.86,SO,scattered clouds,2022-06-29 19:58:50
223,Port Macquarie,-31.4333,152.9167,50.9,75,100,5.01,AU,overcast clouds,2022-06-29 19:58:51
224,Kichera,55.9375,110.0997,61.97,89,53,2.04,RU,broken clouds,2022-06-29 19:58:51
225,Half Moon Bay,37.4636,-122.4286,78.8,68,75,17.27,US,mist,2022-06-29 19:58:52
226,Alice Springs,-23.7,133.8833,38.75,70,0,8.05,AU,clear sky,2022-06-29 19:57:31
227,Soller,39.7662,2.7152,79.86,68,0,4.25,ES,clear sky,2022-06-29 19:58:52
228,Karasburg,-28.0167,18.75,54.66,46,0,12.24,NA,clear sky,2022-06-29 19:58:52
229,Bengkulu,-3.8004,102.2655,73.53,91,100,15.35,ID,moderate rain,2022-06-29 19:58:53
230,Abu Dhabi,24.4667,54.3667,91.51,66,0,0.0,AE,clear sky,2022-06-29 19:58:53
231,Vieques,18.425,-65.8329,88.72,79,74,18.05,PR,broken clouds,2022-06-29 19:58:53
232,Umtata,-31.5889,28.7844,50.9,41,0,3.78,ZA,clear sky,2022-06-29 19:58:54
233,Sao Felix Do Xingu,-6.6447,-51.995,88.61,42,92,3.36,BR,overcast clouds,2022-06-29 19:58:54
234,Palmer,42.1584,-72.3287,84.15,41,32,1.01,US,scattered clouds,2022-06-29 19:58:54
235,Birjand,32.8663,59.2211,84.67,17,0,11.5,IR,clear sky,2022-06-29 19:58:55
236,Aripuana,-9.1667,-60.6333,91.08,31,6,2.24,BR,clear sky,2022-06-29 19:58:47
237,Kudahuvadhoo,2.6708,72.8944,82.47,74,95,6.08,MV,overcast clouds,2022-06-29 19:58:55
238,Chokurdakh,70.6333,147.9167,51.93,51,11,18.14,RU,few clouds,2022-06-29 19:58:56
239,Hasaki,35.7333,140.8333,73.29,83,100,5.95,JP,overcast clouds,2022-06-29 19:58:56
